product,model,n_rows,cv_rmse,test_RMSE,test_MAE,test_R2,is_best
hel_choc,LightGBM,320,218.987,364.933,172.805,0.265,True
hel_choc,LinearRegression,320,140.917,385.231,177.257,0.181,False
hel_vain,LinearRegression,320,128.588,348.166,157.469,0.2097,True
hel_vain,LightGBM,320,204.764,348.825,169.578,0.2067,False
malt_vain,LinearRegression,320,101.535,235.584,110.343,0.1696,True
malt_vain,LightGBM,320,138.545,238.457,107.975,0.1493,False
pal_fruta,LightGBM,320,310.935,574.001,281.921,0.1396,True
pal_fruta,LinearRegression,320,193.945,581.297,252.08,0.1176,False
past_alm,LinearRegression,320,60.267,182.15,88.092,0.0157,True
past_alm,LightGBM,320,90.082,183.401,88.194,0.0021,False
tarro_500,LightGBM,320,86.332,163.646,80.7,0.0234,True
tarro_500,LinearRegression,320,53.97,163.649,79.023,0.0234,False
